id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
191,Which technique quantifies risk probability and impact on objectives?,Expert judgment,Risk registry,Risk response planning,Interviewing,,4,,Interviewing gathers data to quantify risk effects numerically.,,,,,,1500_questions.txt
192,"Power, urgency, and legitimacy define which stakeholder model?",Salience,Influence/impact,Power/interest,Power/influence,,1,,The salience model uses these traits to prioritize stakeholders.,,,,,,1500_questions.txt
193,"Scope varies widely due to multiple departmental stakeholders. How
should the PM align costs with delivered scope?",Use scope change forms to estimate costs,Cut scope changes for speed,Deliver incrementally to verify pace,Track costs in performance reports,,4,,Ongoing cost tracking ensures alignment with scope as it evolves.,,,,,,1500_questions.txt
194,"For an Agile project with dispersed team members facing communication
woes, what can the PM do?",Create a fishbowl window and remote pairing,Create a fishbowl window,Set up remote pairing,Assign work by location,Colocate the team,1,,"A fishbowl window (constant video link) and remote pairing (shared
tools) bridge time zone gaps effectively.",,,,,,1500_questions.txt
195,Which statement is correct?,"Five process groups: Initiating, Planning, Executing, Monitoring and
Controlling, Closing","55 processes, grouped by process or Knowledge Area",10 Knowledge Areas with sequential processes,"Five groups: Initiating, Planning, Managing, Monitoring, Closing",,1,,"The PMBOK® Guide lists five process groups as in A, with 49 processes,
not 55.",,,,,,1500_questions.txt
196,"Who provides resources and support, accountable for project success?",Sponsor,Customer,Business partners,Functional managers,,1,,"The sponsor champions the project, securing resources and driving
success.",,,,,,1500_questions.txt
197,"A team notes hardware might arrive 45 days late, risking delays. A month
in, it's shipping 20 days early. What's next?",Adjust the procurement SOW,Issue a change request,Update the risk register,Modify the budget,,3,,"Updating the risk register reflects the reduced risk from early
delivery.",,,,,,1500_questions.txt
198,"For a flood-prone project, how should the PM plan risk management?",Schedule for low-rain periods,Use historical data to assess probability,Add a lump sum to the risk register,Warn stakeholders of risks,,2,,Data-driven probability assessment informs solid risk planning.,,,,,,1500_questions.txt
199,"Gail meets the sponsor and stakeholders for a cost-cutting shipping
project. Marty, the sponsor, doubts quantifiable goals. What steps
should Gail propose?","Negotiation, resource allocation, published goals","Set project, sub-team, and individual goals with rewards",Define quality standards and contributions,"Define goals, set timelines, allocate resources, set standards",,4,,"SMART goals---definition, timing, resources, and standards---ensure
clarity and measurability.",,,,,,1500_questions.txt
200,Select three elements addressed by an agile team's social contract.,Team values,Ground rules,Team assignments,Group norms,,,"1,2,4","A team's social contract outlines how members collaborate, covering
values, rules, and norms, but not specific task assignments.",,,,,,1500_questions.txt
201,"Hector oversees a diverse team across North America, Asia, Europe, and
South America, all dedicated and English-speaking. Complaints arise
about slow responses between regions. What's the main hurdle?",Language,Time zone differences,Internet connection,Cultural differences,,2,,"Time zone gaps cause delays as team members work while others sleep.
Language and culture aren't flagged as issues here.",,,,,,1500_questions.txt
202,"You're leading an agile virtual game project. Your team's web app for
task tracking loses assignments as volume grows, so you switch to a
Kanban-style tool. What's not a benefit of such tools?",Leaders monitor workloads with current task lists,Improved coordination for virtual teams,Clear assignment visibility for team members,Easier micromanagement for leaders,,4,,"Agile favors self-directed teams; task trackers support autonomy, not
micromanagement.",,,,,,1500_questions.txt
203,What's a hierarchical breakdown of project risks by category?,Risk register,Risk breakdown structure (RBS),Risk management plan,Risk category,,2,,An RBS organizes risks hierarchically by type for clarity.,,,,,,1500_questions.txt
204,How's the cost performance baseline typically shown?,An S-curve,A normal curve,A U-curve,A positive slope line,,1,,"The S-curve plots cumulative costs over time, standard for baselines.",,,,,,1500_questions.txt
205,"In a path convergence with activities 1, 2, and 3 each at 50% on-time
odds, what's the chance of starting activity 4 on day 6?",10 percent,13 percent,40 percent,50 percent,,2,,"Probability = (0.5)³ = 0.125 or 12.5%, rounded to 13%.",,,,,,1500_questions.txt
206,"With a CPI of 0.92 and EV of US\$172,500, what's the project's actual
cost?","US\$158,700","US\$172,500","US\$187,500","US\$245,600",,3,,"AC = EV ÷ CPI = 172,500 ÷ 0.92 ≈ 187,500.",,,,,,1500_questions.txt
207,"Avi, PM at Lakeview Plumbing, shares a velocity chart with the product
owner. What does it measure?",Project hours burned,Team member count,Total hours consumed,Team capacity,,4,,"Velocity charts track work capacity per iteration, aiding planning.",,,,,,1500_questions.txt
208,"Your CEO emails you to present your 18-month project to 50+
stakeholders. You've held regular updates. Where do you start?",Define the audience,Set the objective,Choose the presentation format,Share issues for discussion,,4,,"Starting with a circulated issue list leverages regular meetings'
structure.",,,,,,1500_questions.txt
209,"Lizzy manages Project Westward, three weeks into a ten-week plan with a
CPI of 0.99. Federal rules require inspector reviews, delaying progress.
A developer asks why compliance matters. What's her reply?",The PMO mandates it,It mitigates financial risks,It's a legal duty,It ensures customer safety,,3,,"Compliance meets legal obligations, the core reason here.",,,,,,1500_questions.txt
210,"Jim, PM for the BHQ manufacturing project, is asked by sponsor Beth for
a chart showing work history and variations over time. What chart fits?",Pareto chart,Network diagram,Run chart,Flowchart,,3,,Run charts display trends and variations against a timeline.,,,,,,1500_questions.txt
211,"An operator spots an unaddressed requirement during execution, sparking
team debate on adding it. How could the PM have prevented this?",Updated the WBS with stakeholder input,Kept frequent stakeholder talks,Defined exclusions in the scope statement,Sent unidentified needs to the CCB,,2,,Regular stakeholder engagement catches needs early.,,,,,,1500_questions.txt
212,"Sarah, scrum master for a grocery app, hears 76% of users find it
feature-heavy and complex per a survey. What likely went wrong?",Misuse of SAFe,No MVP produced,Weak stakeholder plan,Unclear store requirements,,2,,"Skipping an MVP missed iterative user feedback, bloating features.",,,,,,1500_questions.txt
213,"Shawn, a servant leader PM, is loved for support but leaves his team
directionless. What style should he add?",Pure servant leadership,Laissez-faire,Autocratic,Directing,,4,,Directing adds vision and goals to his supportive approach.,,,,,,1500_questions.txt
214,"A PM notices two critical tasks lagging and consults the sponsor. What
action follows?",Plan updates,Preventive action,Corrective action,Defect repair,,3,,Corrective action addresses delays to realign the project.,,,,,,1500_questions.txt
215,A Kanban board best visualizes what during a review?,Backlog items awaiting prioritization,Work planning for a release,Bottleneck causes,Work item priority and stage,,4,,It tracks current iteration items' status and priority.,,,,,,1500_questions.txt
216,"Barbara's team at Arcam Corp adjusts requirements anytime to stay
competitive. What principle drives this?",Prioritizing customer satisfaction via early delivery,Regular reflection for improvement,Frequent software delivery,Embracing late requirement changes,,4,,"Welcoming changes, even late, keeps them agile and competitive.",,,,,,1500_questions.txt
217,"The team negotiated with managers to secure a senior developer,
finalizing resources. What were they doing?",Estimating resource needs,Acquiring the team,Defining requirements,Estimating task durations,,2,,Negotiating staff assignments is part of team acquisition.,,,,,,1500_questions.txt
218,Who approves or rejects all change requests?,CCB,ECB,TCB,CRB,,1,,The Change Control Board (CCB) holds this authority.,,,,,,1500_questions.txt
219,"Some stakeholder groups in a company-wide project show low expectations
and poor performance, risking goals. What should the PM do?",Ask the sponsor to motivate them,Follow the engagement plan,Submit a change request,Confront the stakeholders,,2,,The engagement plan guides stakeholder involvement effectively.,,,,,,1500_questions.txt
220,"Phil, scrum master at Project Corp, hears stakeholders puzzled by story
points post-planning. What's his move?",Briefly explain and send materials,Do nothing---product owner will handle,Do nothing---stakeholders don't need it,Assign a team member to train them,,1,,A quick explanation plus resources clarifies without burdening the team.,,,,,,1500_questions.txt
221,Which process group refines objectives and plans actions to meet them?,Initiating,Planning,Executing,Monitoring and Controlling,,2,,Planning defines the project's path and details.,,,,,,1500_questions.txt
222,"After delivering a product, the PM releases the team. A month later, the
customer reports functionality issues. What should the PM have done?",Updated process assets,Secured formal customer approval,Revised the traceability matrix,Transferred to support,,2,,Formal approval ensures acceptance before closure.,,,,,,1500_questions.txt
223,"Cale works with Grant, a stellar BA who only tackles assigned tasks
despite spotting issues. How can Cale mentor him?",Build team trust,Create team-building chances,Use open communication,Manage conflicts constructively,,1,,Fostering trust encourages Grant's autonomy and initiative.,,,,,,1500_questions.txt
224,"A customer requests a missing feature's timeline. They say 3 days, the
PMO says 7, the tech lead says 10. What should the PM use to estimate?",Pareto diagram,Analogous estimating,Beta distribution,Parametric estimating,,2,,Analogous estimating leverages past data for quick estimates.,,,,,,1500_questions.txt
225,Select all parts of a benefits management plan.,Strategic alignment,Metrics,Target benefits,Business need,,,"1,2,3","It outlines how benefits align, target, and measure success, not the
business need itself.",,,,,,1500_questions.txt
226,"To pinpoint causes of poor field-test results for fixes, what tool
should the PM use?",Cause-and-effect diagram,Pareto diagram,Affinity diagram,Scatter diagram,,1,,This diagram identifies root causes systematically.,,,,,,1500_questions.txt
227,"You're a new PM tasked with fast resource assignment and QA team setup.
Which statement is wrong?",QA is typically third-party,The PM impacts quality most here,Follow Acquire Project Team processes,"Team, PM, and stakeholders handle QA",,1,,QA isn't always third-party; it can be internal or team-led.,,,,,,1500_questions.txt
228,"Monica's team struggled with training, scoring 90% poorly on a test,
citing unclear video content. What should she do?",Survey learning preferences and adjust,Redo training and demand focus,Have top 10% train the rest,Switch to in-person delivery,,1,,"Tailoring to individual learning styles via a survey boosts
effectiveness.",,,,,,1500_questions.txt
229,Progressive elaboration of product traits must align with what?,Proper scope definition,Project stakeholders,Scope change control,Customer's strategic plan,,1,,"Scope definition keeps elaboration consistent, especially under
contract.",,,,,,1500_questions.txt
230,"While gathering requirements, the PM finds objectives misaligned with
the charter on a budget-tight project. What's the best approach?",Realign stakeholder expectations with the charter,Expand the charter for new objectives,Cut charter objectives not matching stakeholders,Ignore out-of-scope stakeholder goals,,1,,Aligning expectations with the charter maintains focus and budget.,,,,,,1500_questions.txt
231,"Alexis, PM for Project Midwest at Bridge Corp, learns of a new CEO and
executives. What's her next step?",Seek PMO advice,Ask the team about the new execs,Research their potential impact,Do nothing---project continues,,3,,Understanding new leadership's influence prepares her for changes.,,,,,,1500_questions.txt
232,"Experts on a critical project are reassigned elsewhere, halting their
tasks. What's the PM's first move?",Escalate to the sponsor for more staff,Assess impact and optimize,Discuss alternatives with the functional manager,Reduce scope via change control,,4,,"Adjusting scope via change control addresses resource loss
pragmatically.",,,,,,1500_questions.txt
233,"Freddy performs quarterly reviews of his project stakeholders to update
his team on shifts in their influence, interest, or expertise. He learns
from multiple sources that Dong Jing recently earned a certification in
a data analytics platform relevant to the team's dashboard development.
Freddy plans to discuss this with Dong Jing to gauge his skills and
decide how much detail to share about the team's work. However, their
rapport has been strained since Dong Jing took Freddy's unofficial
parking spot a year ago. What pitfall should Freddy steer clear of?",Central tendency error,Strictness or leniency error,Recency error,Personal bias,,4,,"Personal bias stems from subjective experiences rather than objective
facts, and Freddy must avoid letting the parking dispute cloud his
assessment. Recency error overweights recent events, but the year-old
incident reduces this risk. Central tendency error averages all ratings,
and strictness/leniency skews them---none apply here as directly as
bias.",,,,,,1500_questions.txt
234,"Hannah takes over a struggling agile team with two business analysts,
five developers, two database admins, and two testers. What should she
prioritize early on?",Assess each team member individually,Merge analyst and tester roles into cross-functional duties,Collaborate with the team to build cross-functional skills,,,2,,"Focusing on creating generalizing specialists by blending skills suits
agile's flexibility, especially since no one currently fills a broad
role. Evaluating individuals isn't urgent, and merging roles without
team input risks resistance.",,,,,,1500_questions.txt
235,"In project networks, what's the term for float used by an activity that
doesn't impact later activities' float?",Extra float,Free float,Total float,Expected float,,2,,"Free float is the delay an activity can take without pushing back the
start of subsequent tasks.",,,,,,1500_questions.txt
236,"Tom, scrum master for Project M in its second iteration with a velocity
of 35 story points, learns during a retrospective that servers are
overheating and at risk of failing---crucial for the project's
continuation. A team member proposes using a cloud provider for backup
servers. What risk response is this?",Sharing,Accepting,Transfer,Escalating,,3,,"Transferring shifts the risk burden to the cloud provider, a third
party, fitting this threat-focused strategy. Sharing boosts risk via
collaboration, accepting tolerates it, and escalating seeks higher
authority---none match here.",,,,,,1500_questions.txt
237,"A PM adept at reading body language thrives in face-to-face stakeholder
meetings but struggles when the project goes virtual, relying on phone
and email. After misinterpreting literal messages and facing reprimands,
they feel their influence wanes. What's the best virtual engagement
option?",Video conferencing,A shared portal,Email/chat,Audio conferencing,,1,,"Video conferencing restores visual cues like expressions, vital for this
PM's style, unlike portals (for sharing), email/chat (brief updates), or
audio (voice-only).",,,,,,1500_questions.txt
238,"Xavier, scrum master for Project X in its fifth iteration with 25 story
points, hears that stakeholders are confused by outdated info on various
radiators. How should he fix this?",Print daily hard copies for stakeholders,Send a developer to investigate with stakeholders,Use one radiator with a timestamp,Email daily updates,,3,,"A timestamped radiator ensures stakeholders see current data
efficiently, avoiding wasteful printing, developer distractions, or
redundant emails.",,,,,,1500_questions.txt
239,"At a construction project's close, a stakeholder rejects ownership due
to missing industry-required documentation, which the PM denies is
needed. What's the PM's next step?",Escalate to the stakeholder's boss,File a change request,Make the change within budget,Produce the documentation,,1,,"Escalating clarifies the requirement's validity without assuming
responsibility prematurely.",,,,,,1500_questions.txt
240,"Anthony's 3D printing project for real-time building models faces
scheduling conflicts due to printers being over-allocated for landscape
visuals on related projects. How can he optimize printer use?",Pitch his project's value to management,Coordinate with other PMs to share printers,Map the critical path across projects,Request a new printer,,2,,"Collaborating with other PMs to pool resources aligns similar goals,
outpacing critical path analysis, proposals, or new purchases as a first
step.",,,,,,1500_questions.txt
241,"Roger manages Project CDS, nine weeks into a nineteen-week plan, when a
new CIO---a key stakeholder---joins the organization. Fearing
derailment, what should Roger do next?",Urge the CEO to protect the project,Conduct a stakeholder analysis with the CIO,Assume new stakeholders lack influence,Ask the team about the CIO,,2,,"Analyzing the CIO's stance informs Roger and mitigates risks, trumping
assumptions or indirect inquiries.",,,,,,1500_questions.txt
242,"A construction project lags after a safety mishap injures a worker due
to ignored protocols, triggering delays from inspections. The manager
finds a supervisor falsified safety checks and removes them. What
conflict resolution method is this?",Smooth or accommodate,Collaborate or problem-solve,Compromise or reconcile,Force or direct,,4,,"Forcing uses authority to resolve the urgent safety issue decisively,
unlike smoothing (downplaying), collaborating (joint effort), or
compromising (mutual concessions).",,,,,,1500_questions.txt
243,"You're advising your project selection committee on the best project.
Data shows: Project 1: \$795,000 initial, \$44,000 monthly for year 1,
\$156,000 quarterly from year 2. Project 2: \$845,000 initial, \$180,000
quarterly for year 1, \$136,000 quarterly from year 2. Which should you
recommend and why?",Project 2: 16-month payback vs. Project 1's 19 months,"Project 1: 18-month payback, shorter than Project 2",Project 2: 15-month payback vs. Project 1's 18 months,Project 1: lower initial cost,,1,,"Project 1: Year 1 = \$528,000, Year 2 = \$39,000/month, payback = 19
months. Project 2: Year 1 = \$720,000, Year 2 = \$45,000/month, payback
= 16 months. Project 2's faster return makes it preferable.",,,,,,1500_questions.txt
244,"Emelia, scrum master for Project O, finishes a sprint review. What must
she do before the next iteration?",Release the team,Update velocity,Hold a retrospective,Record lessons learned,,3,,"A retrospective refines performance for the next sprint; lessons follow,
velocity adjusts later, and the team stays until project end.",,,,,,1500_questions.txt
245,What are three common conflict sources?,Scarce resources,Personal work styles,Scheduling priorities,Role definition,,,"1,2,3","The PMBOK® Guide lists resources, styles, and priorities as key conflict
triggers, manageable via norms and planning.",,,,,,1500_questions.txt
246,"The PM reviews progress with the sponsor, who asks about short- and
long-term benefit timelines. Which document helps?",Benefits management plan,Project management plan,Project schedule,Product backlog,,1,,"The benefits management plan details when and how benefits emerge, both
during and after the project.",,,,,,1500_questions.txt
247,What process crafts a detailed project and product description?,Create WBS,Verify Scope,Collect Requirements,Define Scope,,4,,Define Scope outlines the project and deliverables in detail.,,,,,,1500_questions.txt
248,"Which option describes a table listing risks, their likelihood, impact,
and overall score?",Risk table,Qualitative matrix,Quantitative matrix,Probability and impact matrix,,4,,"This matrix scores risks by probability and impact, unlike vaguer or
differently focused alternatives.",,,,,,1500_questions.txt
249,"Joachim (PM) and Kelly (coordinator) face an unexpected \$32,000 risk
with schedule delays. Joachim submits a change request, uses contingency
reserves, and informs stakeholders. Kelly thinks he erred. What did
Joachim mishandle?",Including the schedule in the change request,Using contingency instead of management reserves,Filing a change request for an unknown risk,Not foreseeing all risks,,2,,"Contingency reserves cover known risks; management reserves handle
unknowns like this, making Joachim's choice incorrect.",,,,,,1500_questions.txt
250,"A PM opts to colocate their Scrum team for the project's duration. What
are three benefits?",Enhanced team dynamics,Low-cost learning environment,Larger resource pool,Greater knowledge sharing,,,"1,2,4","Per the Agile Practice Guide, colocation boosts communication, learning,
and sharing---not resource expansion.",,,,,,1500_questions.txt
251,Which statement most accurately captures Agile project management?,"An approach locking in project requirements early, prior to
execution.","A way to handle projects by breaking them into small, manageable
chunks completed swiftly.","A concept highlighting how process groups integrate, focusing on
results across the life cycle.","A strategy tackling projects via large, straightforward work blocks
to deliver the final outcome.",,2,,"Agile thrives on flexibility, delivering work in bite-sized pieces for
quick adaptability.",,,,,,1500_questions.txt
252,"A rookie project manager, new to construction, is gearing up for a
quarterly review. What framework should they use to guide the meeting
and share updates on schedule, risks, performance, and budget?",Scope management plan,Work breakdown structure (WBS),Requirements management plan,Work performance reports,,4,,,,,,,,1500_questions.txt
253,"Stevie, a seasoned project manager known for a top-down style, sees his
team as cooks who should stick to the recipe---focusing solely on goals
without input. The team disagrees, spotting chances to innovate with
tech and favoring quick, face-to-face chats over paperwork. They voice
their ideas, but Stevie insists \'opinions are for stakeholders.\' As
his consultant, what's your advice?",You're correct; team members aren't stakeholders.,"The team's a stakeholder, but their job is to obey.",The team's an internal stakeholder; their input matters.,"You're a stakeholder, but the customer's view trumps all.",,3,,"The team, as internal stakeholders, drives quality and
success---ignoring them risks both.",,,,,,1500_questions.txt
254,"During execution, costs soar past baseline estimates. What's the project
manager's next move?",Trim scope to cut pricey elements.,Check the assumption log for flawed cost guesses.,Dig into past data for fresh estimates.,Revise cost forecasts and talk options with the sponsor.,,2,,,,,,,,1500_questions.txt
255,What defines an Agile life cycle?,"A mix of iterative and incremental, refining and delivering often.",A classic method with heavy upfront planning before action.,A process yielding usable deliverables right away.,A focus on early feedback to tweak the work.,,1,,"Agile adapts dynamically, prioritizing customer value.",,,,,,1500_questions.txt
256,"You're a veteran project manager at a tech firm on a multi-year,
high-value project. Market shifts force a halt, leaving it half-done. To
record what's been achieved, you log the tangible outputs. This ties to
which process?",Validate scope,Create a WBS for finished work,Define scope,Control scope,,1,,"Validating scope ensures deliverables are accepted, even if the project
ends early.",,,,,,1500_questions.txt
257,"On a software rollout with a solid change plan, a developer flags an
unapproved security patch needed for stability. What should the project
manager do?",Install it now to keep things moving.,Log it in the risk register.,Check with the sponsor.,Call a change management meeting.,,4,,,,,,,,1500_questions.txt
258,"Which scenario best shows Agile's business-development collaboration
principle?","Buy More's teams meet daily face-to-face to hash out requirements and
solutions.","A Buy More analyst joins daily scrums; the product owner pops in
biweekly.","Buy More's scattered team relies on calls, emails, and docs for daily
syncs.",A Buy More manager emails daily updates to the team.,,1,,Face-to-face beats all for Agile collaboration.,,,,,,1500_questions.txt
259,"A quality audit reveals the team skipped design reviews in the quality
plan, building components unchecked. What's the project manager's first
step?","Adjust scope, time, and budget via change control for extra reviews.",Host a problem-solving session with the team and quality experts.,Halt construction and report to the sponsor with a fix.,Meet with the client and team to resolve it for the client.,,2,,,,,,,,1500_questions.txt
260,"After nine months, the R&D team deems their software ready for market
and hands it to operations. A quick test shows unfamiliar interface
changes needing training. What should the project manager have done?","Treated R&D and operations as separate, launching a transfer project.",Walked operations through the product earlier.,Embedded operations in the project for knowledge sharing.,Held two-day training on the changes.,,1,,,,,,,,1500_questions.txt
261,"Mark's making a math game for kids, with parents testing it biweekly for
feedback. Stakeholders suggest fun features; mathematicians want harder
equations. Which user need comes first?",Tougher math equations,All requirements in the first go,Extra play features,Parents' input for improvement,,4,,"Parents, as end-users, drive the game's success with their feedback.",,,,,,1500_questions.txt
262,Which conflict-resolution method avoids a lasting fix?,Withdraw/avoid,Force/direct,Collaborate/problem-solve,Smooth/accommodate,,1,,"Withdrawing dodges the issue, leaving it unresolved.",,,,,,1500_questions.txt
263,What's included in the WBS Dictionary?,Responsible organization,Change requests,Validated deliverables,Organizational process assets,,1,,,,,,,,1500_questions.txt
264,"Post-risk review, a financial risk's impact spikes. What's the project
manager's next step?",Ask the sponsor for more contingency funds.,Reassess risk exposure and response effectiveness.,Tell the team about the risk shift.,Update the risk trigger and notify the owner.,,2,,,,,,,,1500_questions.txt
265,"Sheldon, Scrum Master for Project U, wraps up iteration six with 74
story points and \$6,000 over budget. Beyond closing tasks, what's next
before iteration seven?",Run a Monte Carlo analysis.,Meet stakeholders.,Refresh information radiators.,Hold a sprint retrospective.,,4,,Retrospectives after each sprint boost team learning.,,,,,,1500_questions.txt
266,"A vendor demos a new \$20,000 software module, not in the SOW, that cuts
\$22,000 in testing. The client wants it. How should the project manager
proceed?","Start the change with the vendor and note the cost drop to the
sponsor.",Greenlight the vendor since it's cheaper and schedule-neutral.,Deny the change as it's off-plan.,"File a change request, pending approval.",,4,,,,,,,,1500_questions.txt
267,"With 250 stakeholders across three continents, 200 actively engaged,
what's the best communication approach?",Detailed status reports,Brief status updates,Knowledge repositories,Emails,,3,,"Pull methods like repositories suit large, info-heavy audiences.",,,,,,1500_questions.txt
268,"A key stakeholder skips meetings and won't respond. What should the
project manager do?",Reach out to re-engage them.,Keep inviting them to meetings and updates.,Drop them from invites and tell the sponsor.,Ask the sponsor to replace them.,,1,,,,,,,,1500_questions.txt
269,"Calvin advises a software firm to delay a buggy release, prioritizing
reputation over cost. Which risk strategy is this?",Escalate,Transfer,Mitigate,Avoid,,4,,Avoidance eliminates the threat entirely.,,,,,,1500_questions.txt
270,"Amber overhears Bob say their testing service crashed, halting builds,
while in the team space. This is an example of?",A standup topic for tomorrow,Virtual communication,Osmotic communication,Colocation communication,,3,,Osmotic communication flows naturally in shared spaces.,,,,,,1500_questions.txt
271,"An employee pitches leading a project to switch U.S. distribution
centers to RFID for real-time tracking. Pick three true statements about
his objective.",It outlines objectives well but mixes in requirements.,Requirements like fixed tag IDs are woven in.,Objectives state goals; requirements specify details.,"It's an overview, not a full objective statement.",,,"2,3,4","Objectives need clear metrics, not blended requirements.",,,,,,1500_questions.txt
272,"A housing project hits a snag: the developer rejects the contractor's
work quality, withholding pay and seeking a discount. How should the
project manager settle this?",Hire a third-party inspector to set discounts.,Offer project upgrades to meet expectations.,Let the developer set a penalty discount.,Push for contract-defined dispute resolution.,,4,,,,,,,,1500_questions.txt
273,"A lead team member flags low morale from lack of recognition near
execution's end. What should the project manager do?",Foster a collaborative team vibe.,Get their functional manager to step in.,Give them more decision-making power.,Meet them one-on-one and log it as a risk.,,1,,,,,,,,1500_questions.txt
274,Name two benefits of optimizing flow for Agile value delivery.,Faster results,Quicker value delivery,Less wasted time,Spotlight on top performers,,,"2,3",Flow cuts waste and speeds value.,,,,,,1500_questions.txt
275,Pick two key factors for applying organizational change management.,A change framework,Change management across project levels,A project change methodology,Scrum Master-led change control,,,"1,2",PMI highlights frameworks and broad application.,,,,,,1500_questions.txt
276,"Julie, a product manager for smart water bottles, preps stories for the
next sprint. What's this activity?",Roadmap grooming,Release planning,Backlog preparation,Backlog refinement,,4,,Refining the backlog readies it for sprints.,,,,,,1500_questions.txt
277,"The HNN Project team needs safety training to install parts. What's this
cost called?",Variable costs,Cost of nonconformance,Cost of quality,Team development,,3,,Training falls under quality costs.,,,,,,1500_questions.txt
278,"After project approval and stakeholder analysis, what's the project
manager's next task?",Assemble the project management plan.,Draft a project charter.,Gather requirements.,Craft a stakeholder engagement strategy.,,1,,,,,,,,1500_questions.txt
279,"Louisa joins a firm to manage a new client project with a veteran team.
Her director suggests a stakeholder analysis. What's her first step?",Gauge stakeholder support,Contact stakeholders,Classify stakeholders,Identify stakeholders,,4,,Identifying stakeholders kicks off analysis.,,,,,,1500_questions.txt
280,"An IT group rejects a deliverable for process noncompliance, risking a
three-week delay. What should the project manager do?",Escalate to the sponsor.,Ask IT for a root cause analysis.,Explain rework's impact to IT.,Log the rejection in risk and issue logs.,,4,,,,,,,,1500_questions.txt
281,"A deliverable fails acceptance criteria during implementation. What's
next?",Report it to stakeholders.,Analyze the root cause.,Review performance with stakeholders.,Log it and plan corrections.,,4,,,,,,,,1500_questions.txt
282,Which enterprise factors influence cost estimates?,Market conditions and commercial data,Company structure and market trends,Commercial info and company setup,Staff and market conditions,,1,,,,,,,,1500_questions.txt
283,What environmental factor matters most when identifying stakeholders?,Culture and structure,Lessons learned,Policies and guidelines,Past stakeholder registers,,1,,Culture shapes stakeholder dynamics.,,,,,,1500_questions.txt
284,"Manager B avoids risk at all costs, clashing with project manager A.
What's B's risk attitude?",Risk tolerant,Risk averse,Risk neutral,Risk seeking,,2,,Avoidance marks risk aversion.,,,,,,1500_questions.txt
285,What's a tool or technique for planning procurements?,Bidder conferences,Proposal evaluations,Contract types,Change control systems,,3,,,,,,,,1500_questions.txt
286,"Ursula's Project Windmill, ten weeks into thirty, is two weeks late but
\$5,000 under budget. New stakeholders join. What's next?",Update the stakeholder register.,Invite them to a kickoff.,Let others brief them.,Tell the team about them.,,1,,New stakeholders trigger a register update.,,,,,,1500_questions.txt
287,What input shapes the human resource plan?,Project management plan,Activity resource needs,Resource calendar,Staff assignments,,2,,,,,,,,1500_questions.txt
288,"A new project manager finds a key stakeholder disengaged, posing a risk.
What document shows prior handling?",Issue log,Risk register,Stakeholder register,Stakeholder engagement plan,,4,,,,,,,,1500_questions.txt
289,"Performance reviews track budget overruns and estimate remaining funds
using EV. What's not typically assessed?",Variance analysis,Trend analysis,Time reporting systems,Earned value performance,,3,,Time systems aren't core to EV reviews.,,,,,,1500_questions.txt
290,What best defines target benefits?,Quantifiable gains from implementation,Tangible gains from implementation,Tangible and intangible gains,Intangible gains,,3,,Benefits blend tangible and intangible value.,,,,,,1500_questions.txt
291,"Availability, cost, and ability are examples of?",Team selection criteria,Project assumptions,Project constraints,Project selection criteria,,1,,These guide team picks.,,,,,,1500_questions.txt
292,"Alyssa's consolidating data centers, using waterfall planning and Agile
execution. For the 'run cable' task (1,320 meters), past data says 13
hours or 110 meters/hour. Using analogous estimating, how long will it
take?",9 hours,13 hours,10 hours,12 hours,,2,,Past similar tasks set the estimate.,,,,,,1500_questions.txt
293,"Valentina's project spans 39 global stakeholders with a \$26M cap.
What's this an example of?",Management constraint,Internationalization,Budget constraint,Hard logic,,3,,The cap is a budget limit.,,,,,,1500_questions.txt
294,What are the Human Resource Management processes?,"Plan, Acquire, Develop, Manage","Acquire, Manage, Stakeholder Expectations, Develop","Acquire, Plan, Conflict Management, Manage","Develop, Manage, Estimate Resources, Acquire",,1,,,,,,,,1500_questions.txt
295,"After six months of scope struggles, the team tweaks requirements slowly
with the customer. How should the project manager finalize scope?",Review gathered data in a meeting.,"Finalize internally, then share.",Host a workshop for agreement.,Train the team on requirements.,,3,,,,,,,,1500_questions.txt
296,"Walker spots a new stakeholder at a meeting, learns they're influential
via a friend. What should he update?",Requirements,Business case,Stakeholder register,Project charter,,3,,New stakeholders go in the register.,,,,,,1500_questions.txt
297,Abby's project is closing. How should she sort documents for archiving?,Discard all.,Team vote.,Check PMO best practices.,Archive all.,,3,,PMO guidance ensures proper retention.,,,,,,1500_questions.txt
298,"Jesse's multinational project has hundreds of stakeholders. Who's his
top meeting priority?","A resistant, influential stakeholder",A supportive sponsor,The engineers,A new trainee,,1,,Resistance needs addressing first.,,,,,,1500_questions.txt
299,Sheena's Notebook Project adopts Kaizen per management. What's Kaizen?,Small improvements across all projects,Process tweaks to shorten duration,Minor changes for minor gains,Ongoing small process and product enhancements,,4,,Kaizen drives continuous improvement.,,,,,,1500_questions.txt
300,Name two items in a team charter.,Team values,Decision-making criteria,Team responsibilities,Team assignments,,,"1,2",Charters set norms and decisions.,,,,,,1500_questions.txt
