id,statement,option1,option2,option3,option4,correct_answer,explanation,source
139,"Features are completed in an Agile project, usually in the form of
multiple user stories. When a feature is complete, the team periodically
demonstrates the working product to the customer, business
representative and/or the product owner. These demonstrations or
reviews:","only occur at the end of a the project, or when stakeholders are
available.","often occur at the end of an iteration, or when enough features have
been completed into a set that is coherent.","often occur at the start of the project so everyone knows what they have
to deliver.","often occur when the team wants to, as they are so busy working anyway.",2,"Agile ""sprint reviews"", or feature demonstrations, occur at the end of
an iteration or when enough cards or features have been completed into a
set that can be showcased.",500_questions.txt
140,"You are working with the developers in an Agile team, who are using the
test-driven development approach. They ask you whether they should
operate using something called Red-Green-refactor. What are they
referring to?","Where no code is developed during a red status, some code is developed
during a green status, and new features are taken in during refactor
status.",A traffic light approach to bringing in new features.,Only releasing features when they are given the green light.,"Where a test is written first that fails, then passes once the solution
is developed, and can then be refactored or streamlined.",4,"The process of writing a test that initially fails, adding code until
the test passes, then refactoring the code is part of test Driven
Development. (TDD). Red-Green-Refactor is the same as fail, pass, and
streamline the code.",500_questions.txt
141,"You are an Agile project manager working with the Product Owner of the
Agile team. There are several key deliverables that have been identified
and listed in the product backlog. What will the Agile team do next?",All deliverables should go live only at the end of the project.,"The tasks should be delivered but not tested, to get value to the
customer as quickly as possible.","The tasks should be prioritized, developed and tested incrementally.","The tasks should be planned carefully and delivered according to their
plan.",3,"Agile develops and delivers in features or increments. This means
prioritising for each increment, developing and testing for each
increment. Even though we want to deliver quickly, quality testing is
still important and quality is everyone's responsibility.",500_questions.txt
142,"A team new to Agile has worked closely with the product owner and has
identified the highest value features of the project. What is one reason
to break those features down into increments and deliver them as soon as
possible?",To get all the work out of the way so the team can relax.,So the project lifecycle can be shortened.,"So the product owner can report to her executive manager that work is
being done.","To reduce the risk of the feature no longer providing value for the
customer.",4,"The longer a feature takes to deliver, the higher the risk is that the
feature will no longer provide the value it was intended to provide.
Value driven delivery prioritises features by highest value and delivers
them quickly for maximum customer benefit.",500_questions.txt
143,"You are an Agile project manager working closely with the Scrum Master
and Agile team. The Scrum Master mentions that Agile works differently
with risk compared to a traditional project. He sets a meeting with you
and the team to talk through Agile risks. What will you do next?","Ensure the team notes and schedules high-risk activities early in the
project so that they are mitigated quickly.","Ensure the team identifies risks, places them in a register and
mitigates them by the end of the project.","Ensure the team keeps the risk register to itself, so other stakeholders
don't think less of the project.","Ensure risk is only captured around people because an Agile team prefers
individuals and interactions over processes and tools.",1,"An Agile team delivers in increments and iterates toward improvement. By
prioritising high-risk features first, future risks for the project are
reduced.",500_questions.txt
144,"You are a project manager on an Agile project that requires an external
third party to develop software for one of your features. You have
worked with the project team to gather the requirements and backlog of
product features. You begin working with your procurement department on
a contract for the vendor. What will you do next?","Request that the contract is one that accommodates changes to product
scope.",Go back to the business and ask them to deliver the feature,"Raise a risk to the delivery of your project based on the external
vendor","Find an existing ""time and materials"" contract from the organisation's
Organisational Process Assets.",1,"Agile works with changing scope and cost as the product is completed
incrementally, but primarily a fixed schedule and quality. As you are
working with the procurement department, you will need to ensure a
contract that accommodates changing requirements and scope.",500_questions.txt
145,"Agile projects have short iterations enabling the project team to
receive early and continuous feedback on product quality throughout the
development lifecycle. By getting frequent customer feedback as the
project progresses, Agile teams can incorporate most new changes into
the product and the development process. What is NOT one of the benefits
of this approach?","Avoiding requirements misunderstandings, which may not have been
detected until later in the development cycle when they are more
expensive to fix.","Clarifying customer feature requests, making them available for customer
use early.","Discovering, isolating, and resolving quality problems early.","Having one big release at the end of the project that everyone can
celebrate.",4,"Agile methods work with multiple features, releasing them in increments
so the customer can use them and provide feedback. Having a single
release is a waterfall approach.",500_questions.txt
146,"You are an Agile project manager tasked with evolving your part of the
organisation into Agile. What is NOT something you would do, when making
this change?","Treat the change as an Agile project, with its own backlog of changes
that could be introduced by the team based on perceived value.","Treat each of the changes as an experiment, tested for a short period of
time to determine suitability or the need for further refinement.","Use Kanban boards to track progress, showing new approaches in use as
""done"", and things being tried as ""in progress"".","Direct the teams to take on Agile in one go, moving ahead without
wavering.",4,"Agile is an incremental approach. Using a backlog of Agile methods the
teams would like to use, treating them as an experiment, and using a
Kanban board to track progress are all things you can do to use Agile
when implementing Agile.",500_questions.txt
147,"You are an Agile project manager working with the project sponsor in the
beginning stages of an Agile project. The project sponsor mentions that
they would like help creating the Project Charter. You tell them you
will also do a Team Charter for your Agile team, that will include the
project sponsor. What does this mean?","You will capture the Team values, Communication guidelines and
Decision-making process separately to the project purpose, requirements
and summary schedule.","You will create a project plan with Scope, Schedule, Cost and Quality
outlines to follow.","You will take over from the project sponsor and direct the team on
future customer requirements.","You will defer to the team for all queries in the way of a servant
leader.",1,"An Agile project manager charters both the project and the team. A
project charter focuses on the business case, project purpose, high
level requirements, stakeholders and risks. A Team Charter focuses on
the agreements in how the team will operate, and is created as a team.",500_questions.txt
148,"You are working with the team on the team charter and have outlined the
project vision, mission, agreed meeting times and accepted team
behaviour. What will you do next?","Ask the team to get to work straight away, because Agile teams move
swiftly.","Send the Team Charter to the project sponsor for their sign off, so the
project can begin.","Agree on and include the ""definition of done"" for team features and
tasks.","Set a meeting for two weeks time so you can continue to develop the
charter iteratively.",3,"The definition of ""done"" is an important part of the Team Charter, to
ensure the team knows when a task is completed, when they can pull the
next tasks, and so everyone agrees what success looks like. This could
involve a card being defined, elaborated, developed, tested, reviewed
and then released. The project sponsor may be included in the team
charter, but does not need to sign off on it -- it is an agreement
amongst the team.",500_questions.txt
149,"You are working on an Agile project, gathering requirements from the
business stakeholders with the Product Owner. During the discussion,
different people seem to have different understandings of what the
feature will look like. What will you do next?","Ask the stakeholders to elaborate their ideas better, and set another
meeting in a week's time.","Park that feature for now and begin work on a feature that is elaborated
better.","Draw a storyboard prototype of the requirement so all stakeholders can
see it, adjust it and agree.","Give your understanding of the feature and ask the stakeholders to agree
or disagree.",3,"Gaining consensus regarding the content and flow of a piece of software
by developing a wireframe or storyboard will confirm everyone has a
complete understanding of what the output is.",500_questions.txt
150,"You are working as a project manager with an Agile project team. A key
stakeholder for the requirements of your project sits on another floor,
and prefers to communicate by email only. What will you do next?","Ensure you communicate by email only with the key stakeholder so they
are comfortable.","Stop communicating with the key stakeholder until they at least come to
a few project meetings.","Ask the key stakeholder to co-locate with the Agile team for a few days
a week, to ensure face to face communication and access to the visual
project information.",Set meetings with the key stakeholder so you can update them personally.,3,"An Agile project team aims to work in a co-located space, where ideas
and information can flow freely. Face-to-face communication provides the
best opportunity to ask questions, get immediate feedback, and
understand body language in order to acknowledge agreement or clarify
misunderstandings. Kanban boards and other visual tools are also in the
team area.",500_questions.txt
151,"As an Agile project manager, you understand the need to operate with
openness and transparency with your team and stakeholders. How will you
encourage knowledge sharing throughout the project?","Tell your team what to do during work hours, so they can learn from you.","Write a process document for the team to read through in their spare
time.","Make key information visible in the team area, and ensure all impacted
stakeholders are invited to the daily stand-up, retrospectives, and even
iteration planning.","Form a key group of executive stakeholders to share project information
with, to ensure your good reputation within the company.",3,"An Agile team makes project information visible and accessible to all.
Agile teams also prefer people and interactions over processes and
tools.",500_questions.txt
152,"You are testing the product being delivered by an Agile team in
increments. You notice that there have been no defects passed on to the
end user. You also notice they are working with an eXtreme Programming
(or XP) methodology for the team. What are the XP practices that led to
this result?",Regular refactoring and daily deployment of an integrated code base,Having real users test the product when it is released,Moving team members around to different roles for a shared experience,Ensuring the team does exactly what the Scrum Master says,1,"eXtreme Programming works with Continuous Integration -- deploying a
single code base on a daily basis and running automated regression tests
to see if anything is broken. In this way defects are picked up quickly.
Regular refactoring, or simplifying and cleaning the code also ensures
it is easier to work with and easier to pick up and fix defects.",500_questions.txt
153,"You are an Agile project manager, working with an Agile coach and
planning the next sprint with the team. The Agile coach advises you to
build in some ""slack"" for the sprint. What does this mean?","To use the messaging service ""Slack"" to communicate as a team.","Allowing the best performers in the team to ""slack"" off as a reward for
their hard work.","Adding a card for refactoring code, that can be replaced if an emergency
comes up.",Creating a burn-down chart and a burn-up chart together.,3,"Building in slack is a way of giving some room in the allocated points
for a team Sprint. The Agile project manager, coach, facilitator or lead
does this by adding in cards for refactoring the code, then basing the
team's velocity off that. Refactoring regularly ensures the code is
clean and correct, and the refactoring card can be replaced if an
emergency comes up. In this way, it is ""slack"", or lee-way built into
the sprint.",500_questions.txt
154,"The team are planning their first upcoming sprint on an Agile project.
They have worked with the product owner who has gathered a backlog of
features in prioritised order. As an Agile project manager, what must
you do to ensure you can plan future sprints correctly?",Find the best performer in the team so you know who you can rely on.,"Find your team\'s velocity over the next few sprints so you can set a
sustainable pace.",Set a working group meeting to gain executive buy-in.,Create the project management plan and draw out the schedule in advance.,2,"An Agile sprint is based on the team's velocity. The team's velocity is
the amount of points (or cards, or features, or whatever you choose) the
team is able to complete on average during a regular sprint. You will
need to complete at least one sprint to get an idea of velocity.",500_questions.txt
155,"You are an Agile project manager and your organization is moving away
from waterfall to an Agile way of work. After reading the Agile
manifesto, the functional manager you are working with mentions
""individuals and interactions over processes and tools"" and asks how you
will do it. What do you tell them?","Create ceremonies such as the daily stand-up, iteration planning
meeting, demos & reviews and retrospectives that encourage team
interaction.",Create a process for the team to review that shows the way of work.,"Ask the project sponsor to interact with the team by sharing some of
their journey.","Ensure the tools the team have to work with are state of the art
software solutions.",1,"Many Agile practices are based on a collaborative approach, which
enables fast decisions and ownership of the work. One way to do this is
co-locate the team, but others are the daily stand-up, team planning of
the next iteration, and retrospectives to improve the way of work moving
forward.",500_questions.txt
156,"You are an experienced functional manager who has been asked to lead an
Agile project team. Your executive manager is calling it the ""project
coach"" or scrum master role. You know that Agile leadership might be
different to what you are used to. What sort of leadership style will
you embody?","Servant leadership, where you will lead the team by serving their needs,
growing their skills, and removing blockers.","Directive leadership, where you tell the team exactly what to do so they
don't have to worry.","Visionary leadership, where you focus on the high level features and
don't worry about the detail.","Laissez-faire leadership, where you take a hands off approach, and let
the team self-organise.",1,"An Agile leader is primarily a servant leader, a project coach. The
focus is on removing blockers for the team, helping them problem solve
and growing their skills where needed.",500_questions.txt
157,"You are working as an Agile project manager in a new project team. Many
project team members are despondent, and do not show up for the meetings
and ceremonies you have set. What will you do next?","Raise a risk in the risk register around project goals, and ask the
project sponsor to mitigate the risk.","Have a coaching session with the team teaching the ""what"" and ""why""
behind Agile ceremonies, and ensure each meeting has a clear outcome,
time and agenda.","Cancel all meetings for now, and write some documentation for the team
on what you'd like them to do.",Make the decisions yourself and dictate the outcomes to the team.,2,"An Agile leader focuses on coaching the team, removing blockers and
ensuring interaction. The key Agile ceremonies such as stand-ups, sprint
reviews and retrospectives help support and improve the work and get the
answers people need.",500_questions.txt
158,"You are an experienced project manager who is used to a directive
leadership style where people do exactly what you say. Now you are
working in an Agile team, where that style of leadership is not
accepted. What is one thing you can change to move to a more servant
leadership style?",Ensure the executive team makes all the decisions.,Ensure the stakeholders collectively agree on and share decisions.,Defer to the product owner and the business to make all the decisions.,"Find an extremely competent person in the project team and delegate
decisions to them.",2,"Agile methods aim to empower the team, which means they need to be
effective decision makers. Decisions are often made by either collective
agreement, where the team agrees with the decision or approach, or a
shared decision, where the team problem solve, share input, and arrive
at decisions together.",500_questions.txt
159,"You are working on the requirements for the next iteration and a
decision needs to be made by the team. The product owner suggests using
a show of hands to indicate whether team members are for or against the
decision. As the Agile project manager, you object to this approach.
Why?","Agile is about software, and the team should use software to vote on the
decision.","The decision may not go in your favour, so it's best to just do it
yourself.","Decisions should take time to work through, not be voted on quickly.","By making their decisions visible, team members may be influenced by
others in the team (especially executives) without the benefit of
discussion.",4,"With just a ""for"" or ""against"" vote, there will be no discussion that
might produce a better or alternative decision for the issue. By making
the votes visible, team members are more easily influenced by others'
decisions, especially if they report to them outside of the project
environment.",500_questions.txt
160,"An executive in your organisation approaches you about working in an
Agile team. They have heard about Feature Driven Development and would
like to try it as a ""test and learn"" in your team. What do they mean by
this?",Your team will rely on previous feature designs for your work.,"Your team features certain abilities, and showcases them to other teams.","Your team enjoys the feature of working with Agile in an Agile
organisation.","Your team will trial developing an overall model, then planning,
designing and building by those features.",4,"Agile Feature Driven Development starts with an overall feature model,
then plans, designs and builds by those features. Once a feature is
complete, the process can begin again, complete with any learning from
the previous feature.",500_questions.txt
161,"For Kanban or \""Flow based\"" Agile, iterations follow the number of
story cards in the Work in Progress limit, shown on the visual or
virtual board. The team pulls cards from the backlog column on the
Kanban board based on their capacity. These story cards provide an
increment of value and are:",the primary driver of executive behaviour,the primary measure of progress,the primary way to pay for the cost of an Agile team,the primary enabler of people's engagement,2,"The key to Kanban is making progress visible. Progress naturally
improves team engagement (no one likes being stuck, and blockers are
clear for people to see and assist with).",500_questions.txt
162,"You have just come on board an Agile team and a decision needs to be
made about product requirements. The scrum master asks the team to show
their confidence in the decision by holding up their fingers on one hand
(a closed fist through to five fingers). What does it mean if a team
member holds up fewer than three?",The team member doesn't mind about the decision either way.,The team member has a concern or conflict that needs further discussion.,The team member defers to the executive sponsor to decide.,"The decision is outside of the team member's expertise and they choose
not to vote.",2,"When voting in an Agile team using the Fist of Five, members who vote
with three or fewer fingers have a concern or conflict with the decision
and would like an opportunity to discuss it further.",500_questions.txt
163,"You are at the beginning of a new iteration and about to plan and decide
what gets worked on in the upcoming sprint. You decide to invite all
project stakeholders to the planning meeting to decide what to work on
next. Why is it important that all stakeholders are involved in
decision-making?",So you can keep an eye on what they are doing,"So business representatives can report back to their managers on the
project","So the team feels important, with lots of stakeholders present",So the project stakeholders don't reject a decision that wasn't theirs,4,"Giving ownership of decisions to the team and stakeholders is one way to
gain their buy-in. If stakeholders are involved in decision-making, they
will be more committed to any decision made and to the project.",500_questions.txt
164,"You are in an Agile team area and notice it is different to other
project areas you have worked on. The project manager tells you there
are certain ways to ensure that stakeholders stay engaged. What is he
talking about?",Removing any team member who is not engaged in the project.,Giving extra work to the better engaged team members.,"Ensuring visibility, transparency and progress of the work through
charts and information in the common team area.","Offering a possible promotion to the most engaged team member at the end
of the project.",3,"Visible progress helps maintain team engagement, and is facilitated
through the use of the information radiator -- Kanban board, burndown
chart, product backlog being clearly visible to all.",500_questions.txt
165,"You have been identified as a stakeholder on an Agile software
development team. As you join the team stand-up, you are surprised that
there are only eight people on the team and not more -- after all the
deliverable is quite large. Why is the team so small?","The Agile methodology is being trialled as a cross-discipline
self-forming team.","One person was selected for each role necessary, and no more.",Agile methods recommend the delivery team to be 12 or fewer members.,Agile methods call for very specialized roles.,3,"Agile methods recommend a team of 12 or fewer, typically between 3 and
9. This keeps the communication channels small and ensures information
travels quickly for the team to do their work.",500_questions.txt
166,"As the lead on an Agile project, you have carefully cultivated an Agile
team of ""T"" shaped people, or generalising specialists. What does this
mean?","A person that has flat knowledge up top, and long knowledge down the
bottom.","A person with a wide range of general skills (i.e. design, development,
testing) and one deep skill or knowledge area.","A person with a wide range of leadership skills, as everyone should lead
on an Agile team.","A person that has more contacts in management layers, and few contacts
in the team layer.",2,"A generalising specialist is a person that has one deep knowledge area
or skill, and a wide range of general interests or skills. An Agile team
is ideally made up of generalising specialists who can do more than one
thing, but does their core role well.",500_questions.txt
167,"In 2001, a group of individuals representing the most widely used
lightweight software development methodologies agreed on a common set of
values and principles which became known as the Agile Manifesto. In that
manifesto they valued:",Individuals and interactions over processes and tools,Executive reporting over bottom up reporting,Scrum masters over project managers,Doing the work over viewing the work,1,"The Agile manifesto is made up of four core values, one of which values
Individuals and interactions over processes and tools.",500_questions.txt
168,"You are planning the next iteration in your Agile team, as the Agile
lead. The team is going to select user stories from the prioritized
release backlog, elaborate the user stories, and estimate the work
needed for each user story. The number of stories selected is based on:","What the scrum master says, as he or she knows best.","The team\'s ""Velocity"", which is the rate at which a team can complete
work.","What the team wants to work on, to ensure individuals work within their
strengths.",The Feature Driven Development model to be completed.,2,"An Agile team's velocity is the amount of work they complete (on
average) in a given iteration. This can be measured in points, cards,
features, stories, T-Shirt sizings or any other method that works for
you. The number of points in a sprint, however, is based on the average
velocity of points from previous iterations.",500_questions.txt
169,"Your team is standing around a board with cards on it. Each person is
answering these questions in a round-robin fashion: ""What did I complete
since last time? What am I planning to complete between now and next
time? Is anything blocking me?"" What is it your team is doing?",A team lunch and learn,A working group meeting,A daily stand-up,A retrospective,3,"During the daily stand-up in an Agile team, the team asks in a
round-robin fashion: ""What did I complete since last time? What am I
planning to complete between now and next time? Is anything blocking
me?"" They also often talk to the cards in-flight on the Kanban board.",500_questions.txt
170,"There are multiple project life-cycles you can choose from, depending on
the type of project, environment, deliverable and stakeholders. You are
working on a project that requires features of an overall product to be
delivered on a regular basis. What sort of project lifecycle will you
choose to work with?",Waterfall project lifecycle,Agile project lifecycle,Iterative project lifecycle,Incremental project lifecycle,4,"While others may meet the criteria of regularly delivered features, an
Incremental Project Lifecycle specifically delivers features in
""increments"" of value over the lifecycle of a project.",500_questions.txt
171,"You are working as an Agile project manager in a new team that is not
familiar with Agile. The executives are not as comfortable using Agile
in full just yet. You suggest using a hybrid approach to begin with, to
help the organisation meet their goals. What does this mean?","A tailored combination of predictive, iterative, incremental, and Agile
approaches.","Using a project management plan to plan the project, while delivering
that plan in features.",A combination of reactive and proactive project lifecycles.,"Using Agile only when it is needed, such as in a software development
team.",1,"A hybrid project lifecycle approach incorporates parts of Predictive
(waterfall), iterative, incremental and Agile. It allows the project
manager to tailor the approach to suit the situation.",500_questions.txt
172,"Your Agile team leader works through servant leadership to the team, and
has built a safe environment for disagreement. How has this empowered
the team to move forward without obstacles?","The team is able to create a list of reasons why tasks cannot be
completed.",The team has no conflict as they get along so well.,"The team leader takes responsibility for all decisions made in the
project.","The team is encouraged to participate in discussion and disagreement in
order to make better decisions.",4,"Constructive discussion and disagreement is encouraged to ensure risks
and alternative ideas are found. This is only maintainable in a team
with high psychological safety.",500_questions.txt
173,"A project management office (PMO) is a group or department that defines
and maintains standards for project management within the organization.
What is the primary objective of a PMO?",To support the customers receiving the product,To support the project managers,To support senior management,To support the industry,2,"The primary objective of a project management office (PMO) is to support
the project manager.",500_questions.txt
174,"You are working on an agile project as a project manager and performing
sprint planning. You are planning the work in detail to be completed
soon, and long term work is planned at a high level. What is this
called?",Detailed Elaboration,Waterfall Planning,Agile Planning,Rolling Wave Planning,4,"Rolling Wave Planning is a type of progressive elaboration where work in
the near term is planned in detail, while the work far in the future is
planned at a high level.",500_questions.txt
175,"At what stage of a project is a project manager typically assigned to a
project?","The very beginning, during project initiation","The beginning to middle, during project planning","The middle, during project execution","The middle to end, during project monitoring",1,"The project manager is typically assigned at the very beginning of a
project, sometimes even having input into the Business Case and Project
Charter.",500_questions.txt
176,"You are in the process of identifying the methods your company uses to
accept third party vendors and procure their services. What are you
looking for?",Rating Selection Criteria,Source Selection Criteria,Scoring Selection Criteria,Proposal Selection Criteria,2,Selection criteria are created to rate seller proposals.,500_questions.txt
177,"Costs can fluctuate during the different phases of your project.
Generally, over the lifecycle of a project, the cost of changes to
project scope will:",decrease,increase,remain about the same,depend on who assigns the change request,2,"As a project advances, project changes from scope creep or error
correction have a larger impact on project cost.",500_questions.txt
178,"You are a project manager brought on during the very early phase of the
project. The project sponsor has asked you to create a report on whether
this project can be completed in time, at what cost, and what benefit is
expected. What is the Project Sponsor asking for?",A Project Charter,A commercial database,A Feasibility Study,A project management plan,3,"A feasibility study forms a part of the Business Case, to determine
whether a project is feasible or not.",500_questions.txt
179,"Future Value is the value of today's sum of money, at a specified date
in the future. The Future Value (FV) of \$14,000 invested for 5 years
with interest rate of 5% each year would be:","\$16,225","\$18,574","\$17,867","\$15,536",3,"Future Value = PV x (1 + i)\^t = \$14,000 x (1.05)\^5 = \$17,867",500_questions.txt
180,"Your project can be significantly impacted, depending on the
organizational structure you are working in. Which organisational
structure gives you the most control as a project manager?",Strong Matrix,Functional Matrix,Balanced Matrix,PMO,4,"While a strong matrix gives you moderate to high control, a Project
Management Office gives you high to almost total control.",500_questions.txt
181,"You are working on a project where you have to plan for your current
software product, and a software product in the same area to be released
afterwards. What is your role in this situation?",Functional Manager,Program Manager,Production Manager,Project Manager,2,"A program manager oversees a group of related projects that are managed
together, rather than individually.",500_questions.txt
182,"Present Value is the present day value of an amount that is received at
a future date. The Present Value (PV) of \$12,000 to be received 4 years
from now, with an interest rate of 5% each year would be:","\$9,872","\$1,787","\$11,268","\$1,541",1,Present Value = FV / ( 1 + interest rate )\^time,500_questions.txt
183,"You are choosing a project for an organization where Project X has an
internal rate of return (IRR) of 8%, Project Y has an IRR of 7%, Project
Z has an IRR of 9%, Project W has an IRR of 11%. Which project would be
the best choice?",Project W,Project X,Project Y,Project Z,1,"The project which has the highest internal rate of return (IRR) is the
best choice. So, Project W with an IRR of 11% would be the best choice.",500_questions.txt
184,"You are a project manager and meeting the stakeholders along with your
team. What is the first meeting of stakeholders and team members, which
provides an opportunity to clarify roles and ask questions called?",Meeting,Kick-Off,Launch,Kick-On,2,"The kick-off meeting with the stakeholders and team members involves
information on roles, planning, and scheduling during project
initiation.",500_questions.txt
185,"You are working in the procurement department for your project. One
vendor is trying to give you an expensive gift with the understanding it
would help them get the contract. What would you do if there are no
rules regarding gifts in your company?",Ask the vendor for an additional gift for your boss also,Don\'t accept the gift,"Accept the gift and help them, it is a nice gesture",Seek advice from your boss,2,"It is your responsibility when managing procurements to avoid any
conflict of interest.",500_questions.txt
186,"You have been working as a project manager for some time, and have found
different types of resistance to the change brought about by your
various projects. What is the main source of resistance for any change
in an organization?",Project,Process,Technology,People,4,"People demonstrate the strongest resistance to change in an
organization.",500_questions.txt
187,"You are working on a project and your project sponsor asks you to
contribute to a decision on whether to continue the project. The project
had an initial budget of \$500,000, is only half complete and has spent
\$1,000,000. Should the organization consider the \$1,000,000 when
determining whether to continue?",Ask the Project Team to vote so the process is democratic,"No, the money spent is gone","Yes, that is our money spent, we should consider it",Refer to the functional manager as they own the business unit,2,"The \$1,000,000 represents ""Sunk Costs"", which are never a consideration
in the decision for a project to continue.",500_questions.txt
188,"You are working as a project manager, asking for proposals from a Third
Parties to complete the work. Your brother works for one of the vendors
bidding for the contract. You are part of the executive team which will
accept a vendor. What do you do?",Discourage the vendor bid as it would be a conflict of interest,Help the your brother's vendor in the bid so you can work together,Inform your company and the vendor of the relationship,Don't tell anyone. Why complicate things?,3,"Since you are part of the executive project management team and have a
conflict of interest, you must inform your company and the vendor of the
relationship, which will in turn inform the decision.",500_questions.txt
189,"You are working as a project manager in a foreign country. It is
customary that gifts be made to the government to obtain the necessary
project approvals, however the country where your company is based does
not allow this practice. What should you do?",Don't bother with getting project approvals,Ensure you offer gifts to obtain the project approvals,Allocate additional hidden funds in the project to obtain the gifts,Do not offer gifts to obtain project approvals,4,"You have an obligation to comply with the law of your base country, so
do not offer gifts to obtain project approvals.",500_questions.txt
190,"You are working on a complex project requiring expertise from the
functional manager. What is your role as a project manager in a weak
matrix organization?",Coordinator,Administrator,Supporter,Functional manager,1,"The project manager role is more of a coordinator or an expediter than a
complete project manager in a weak matrix organization.",500_questions.txt
191,"Project Constraints are any restriction that defines a project's
limitations and is the limit of what the project is expected to
accomplish. Which of the following is one of the types of competing
Project Constraints?",Size,Sponsor,Quality,Location,3,"The different types of competing Project Constraints: 1. Scope 2.
Quality 3. Schedule 4. Budget (Cost)",500_questions.txt
192,"You have been promoted from your role of project manager into a
portfolio manager role. A portfolio is work grouped together to meet a
certain strategic business objective and it involves:",Projects and programs,Projects and operations,Programs and operations,"Projects, programs, and operations",4,"According to PMI and its PMBOK Guide, a portfolio includes, ""Projects,
programs, other portfolios, and operations managed as a group to achieve
strategic objectives.""",500_questions.txt
193,"You are working as a project manager and created the cost estimate to
bid on a government contract, where the scope was set by the government.
Your manager advises you to reduce the cost to win the contract by
whatever means, but your analysis shows that reducing the cost estimate
will make the project unable to meet the specified scope. What should
you do?",Reduce the cost estimate and submit it,"Formally communicate to your manager about the implications of reducing
the cost",Ask your manager to estimate instead,Submit your estimate without reducing the cost,2,"It is your duty as a responsible project manager to be accurate and
truthful in your estimate to meet the expected scope, and direct and
collaborative in your dealings with others.",500_questions.txt
194,"Work Performance Data generally contains raw facts and figures such as
start dates for various activities, the number of bugs found in the
software, spent cost, etc. What is a type of Work Performance Data?",Forecasted estimates to complete,On-Track status for change requests,Number of work packages physically completed,The Schedule Variance of the project,3,"Work Performance Data are the raw measures of the project. They
include: 1. Actual Work Completed 2. Actual Start and Finish dates of
schedule activities 3. Story points completed 4. Number of change
requests 5. Number of defects 6. Actual costs incurred 7. Actual
durations",500_questions.txt
195,"As you work on projects they can be influenced by many different things,
and many different Enterprise Environmental Factors. What sort of
influence are Marketplace conditions on your project?",External,Internal,Regulatory,Public,1,"Although external factors are not under your control, or the control of
the organization, they can have as much impact on your ability to
execute a project.",500_questions.txt
196,"You have recently been promoted from your role as Project Manager to a
role that manages a related group of projects, and ensures efficient use
of resources among those projects to ensure they are delivered. What is
your role?",Functional Manager,Project Manager,Portfolio Manager,Program Manager,4,"The Program Manager role manages related groups of projects to ensure
effective management and resource allocation.",500_questions.txt
197,"Different Project Management Office types have different levels of
control and influence on projects within the organization. What is one
of the types of PMO Structures?",Passive,Controlling,Global,Active,2,"The different types of PMO Structures are: 1. Supportive 2. Controlling
3. Directive",500_questions.txt
198,"You are working on a project in the construction industry and your
project sponsor has allocated a fixed budget and tight timeline to
complete the work. What are the limitations placed upon the project that
the project manager and team must work within?",Restrictions,Limitations,Considerations,Constraints,4,"The traditional project constraints are Scope, Cost, Time, and Quality
and they must be managed and balanced as you complete your project.",500_questions.txt
199,"Your Project Management Office recommends the use of project management
templates and checklists to plan, implement and manage your projects
professionally. These templates are an example of:",Organizational Governance Meetings (OGM),"Strengths, Weaknesses, Opportunities, Threats (SWOT)",Enterprise Environmental Factors (EEF),Organizational Process Assets (OPA),4,"Templates and checklists are examples of Organizational Process Assets,
that can help reduce the amount of time required in the planning
process.",500_questions.txt
200,"Work Performance Data are the raw observations of your project, without
analysing it against other metrics. What is one of the types of Work
Performance Data?",Implementation status for change requests,Forecasted estimates to complete,Number of defects,Status of deliverables,3,"The different types of Work Performance Data from the PMBOK are: 1.
Percent of work physically completed 2. Quality and technical
performance measures 3. Start and finish dates of schedule activities 4.
Number of change requests 5. Number of defects 6. Actual costs 7. Actual
durations",500_questions.txt
201,"A Work Performance Report is a document containing organized information
about project performance in a report format to enable decision making &
actions and project communications. Which of the following is a type of
Work Performance Report?",Status reports,Status of deliverables,Forecasted estimates to complete,Implementation status for change requests,1,"The different types of Work Performance Report from the PMBOK: 1. Status
reports 2. Memos 3. Justifications 4. Information notes 5. Electronic
dashboards 6. Recommendations 7. Updates",500_questions.txt
202,"You are working as a Project Manager and one of the stakeholders of the
project raises a problem with the product requirements, stating they are
not correct. Which document will you use to note this for further
discussion and resolution?",Change Request,Benefits Management Plan,Issue Log,Requirements Traceability Matrix,3,"The Issue Log is a document used to write down and monitor issues that
are under discussion between the team members, and options for
resolution.",500_questions.txt
203,"You are working on a project in the financial sector, and the project
sponsor asks you for a written document that outlines the intention of
the project with set terms and conditions so she can accept. What is she
referring to?",Collaterals,Indemnitees,Settlements,Agreements,4,"Agreements are the formal written documents between two or more people
or groups about the intention of a project with set terms and
conditions.",500_questions.txt
204,"New projects go through the Tuckman Model of forming, storming, norming,
and performing. You have just taken the lead of a new project with a
newly formed team, but are surprised to find little conflict and that
the forming stage has gone so quickly. Which of the following might be
the reason?","The team members have worked together on previous projects and are
following the same Agile ceremonies and methods.",You have made all the project decisions so they don't have to worry.,"The team is in line for a promotion, so they want to get along.",The team members really care about the product being delivered.,1,"It is important to be aware of the Tuckman model on a new project. Using
the existing Agile methodology and ceremonies can help smooth the
process of coming together, as can having a team who have worked
together on other projects before.",500_questions.txt
