id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,approach,difficulty,split,source
1097,A project manager is managing a Predictive project. A risk identification arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
1098,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,test,synthetic_eco_v2
1099,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,validation,synthetic_eco_v2
1100,A project manager is managing a Hybrid project. A schedule delay arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
1101,A project manager is managing a Agile project. A quality issue arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Update the project plan accordingly,Escalate immediately to the sponsor,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
1102,A project manager is managing a Predictive project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,test,synthetic_eco_v2
1103,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
1104,A project manager is managing a Hybrid project. A scope change request arises related to business. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,test,synthetic_eco_v2
1105,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Engage the team to find a solution,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
1106,A project manager is managing a Predictive project. A resource shortage arises related to people. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
1107,A project manager is managing a Agile project. A communication breakdown arises related to people. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
1108,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,validation,synthetic_eco_v2
1109,A project manager is managing a Agile project. A quality issue arises related to people. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,train,synthetic_eco_v2
1110,A project manager is managing a Agile project. A quality issue arises related to business. What should the project manager do first?,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
1111,A project manager is managing a Predictive project. A scope change request arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Escalate only after evaluation,Ignore the issue temporarily,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
1112,A project manager is managing a Predictive project. A scope change request arises related to business. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
1113,A project manager is managing a Predictive project. A scope change request arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
1114,A project manager is managing a Predictive project. A quality issue arises related to process. What should the project manager do first?,Analyze the situation before acting,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
1115,A project manager is managing a Hybrid project. A schedule delay arises related to people. What should the project manager do first?,Analyze the situation before acting,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
1116,A project manager is managing a Agile project. A communication breakdown arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,Ignore the issue temporarily,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
1117,A project manager is managing a Predictive project. A scope change request arises related to business. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
1118,A project manager is managing a Predictive project. A resource shortage arises related to people. What should the project manager do first?,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
1119,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Review risk response strategies,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
1120,A project manager is managing a Hybrid project. A schedule delay arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
1121,A project manager is managing a Agile project. A scope change request arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Review risk response strategies,Ignore the issue temporarily,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,validation,synthetic_eco_v2
1122,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Review risk response strategies,Replace the responsible team member,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
1123,A project manager is managing a Hybrid project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
1124,A project manager is managing a Predictive project. A risk identification arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,validation,synthetic_eco_v2
1125,A project manager is managing a Agile project. A risk identification arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,train,synthetic_eco_v2
1126,A project manager is managing a Hybrid project. A schedule delay arises related to process. What should the project manager do first?,Analyze the situation before acting,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,test,synthetic_eco_v2
1127,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,validation,synthetic_eco_v2
1128,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,test,synthetic_eco_v2
1129,A project manager is managing a Hybrid project. A risk identification arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Update the project plan accordingly,Replace the responsible team member,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,train,synthetic_eco_v2
1130,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
1131,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Escalate only after evaluation,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
1132,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Engage the team to find a solution,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
1133,A project manager is managing a Agile project. A stakeholder disagreement arises related to business. What should the project manager do first?,Engage the team to find a solution,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,validation,synthetic_eco_v2
1134,A project manager is managing a Predictive project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate only after evaluation,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,train,synthetic_eco_v2
1135,A project manager is managing a Hybrid project. A scope change request arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
1136,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate only after evaluation,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
1137,A project manager is managing a Predictive project. A schedule delay arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Analyze the situation before acting,Ignore the issue temporarily,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
1138,A project manager is managing a Agile project. A risk identification arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
1139,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
1140,A project manager is managing a Hybrid project. A communication breakdown arises related to business. What should the project manager do first?,Review risk response strategies,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
1141,A project manager is managing a Agile project. A risk identification arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,test,synthetic_eco_v2
1142,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Replace the responsible team member,Engage the team to find a solution,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,validation,synthetic_eco_v2
1143,A project manager is managing a Hybrid project. A risk identification arises related to process. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
1144,A project manager is managing a Predictive project. A risk identification arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate only after evaluation,Escalate immediately to the sponsor,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,validation,synthetic_eco_v2
1145,A project manager is managing a Predictive project. A risk identification arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,train,synthetic_eco_v2
1146,A project manager is managing a Agile project. A risk identification arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
1147,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Analyze the situation before acting,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
1148,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,train,synthetic_eco_v2
1149,A project manager is managing a Predictive project. A stakeholder disagreement arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,validation,synthetic_eco_v2
1150,A project manager is managing a Predictive project. A communication breakdown arises related to people. What should the project manager do first?,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,test,synthetic_eco_v2
1151,A project manager is managing a Predictive project. A resource shortage arises related to business. What should the project manager do first?,Ignore the issue temporarily,Engage the team to find a solution,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
1152,A project manager is managing a Agile project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
1153,A project manager is managing a Predictive project. A risk identification arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,test,synthetic_eco_v2
1154,A project manager is managing a Predictive project. A communication breakdown arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
1155,A project manager is managing a Predictive project. A scope change request arises related to process. What should the project manager do first?,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
1156,A project manager is managing a Agile project. A quality issue arises related to process. What should the project manager do first?,Update the project plan accordingly,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,validation,synthetic_eco_v2
1157,A project manager is managing a Predictive project. A risk identification arises related to business. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,train,synthetic_eco_v2
1158,A project manager is managing a Predictive project. A communication breakdown arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
1159,A project manager is managing a Hybrid project. A communication breakdown arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Engage the team to find a solution,Replace the responsible team member,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,test,synthetic_eco_v2
1160,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
1161,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
1162,A project manager is managing a Agile project. A quality issue arises related to business. What should the project manager do first?,Engage the team to find a solution,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,train,synthetic_eco_v2
1163,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
1164,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Escalate only after evaluation,Replace the responsible team member,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
1165,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Update the project plan accordingly,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,validation,synthetic_eco_v2
1166,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate only after evaluation,Ignore the issue temporarily,Escalate immediately to the sponsor,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,validation,synthetic_eco_v2
1167,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Engage the team to find a solution,Replace the responsible team member,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
1168,A project manager is managing a Predictive project. A quality issue arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,test,synthetic_eco_v2
1169,A project manager is managing a Agile project. A team conflict arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,train,synthetic_eco_v2
1170,A project manager is managing a Predictive project. A schedule delay arises related to process. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,train,synthetic_eco_v2
1171,A project manager is managing a Predictive project. A scope change request arises related to people. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
1172,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Update the project plan accordingly,Replace the responsible team member,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
1173,A project manager is managing a Agile project. A scope change request arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
1174,A project manager is managing a Agile project. A stakeholder disagreement arises related to business. What should the project manager do first?,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,validation,synthetic_eco_v2
1175,A project manager is managing a Agile project. A risk identification arises related to business. What should the project manager do first?,Review risk response strategies,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,validation,synthetic_eco_v2
1176,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
1177,A project manager is managing a Predictive project. A scope change request arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,train,synthetic_eco_v2
1178,A project manager is managing a Hybrid project. A team conflict arises related to business. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,validation,synthetic_eco_v2
1179,A project manager is managing a Agile project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Engage the team to find a solution,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
1180,A project manager is managing a Predictive project. A schedule delay arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
1181,A project manager is managing a Hybrid project. A schedule delay arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate only after evaluation,Ignore the issue temporarily,Escalate immediately to the sponsor,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
1182,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
1183,A project manager is managing a Hybrid project. A schedule delay arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Update the project plan accordingly,Ignore the issue temporarily,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
1184,A project manager is managing a Predictive project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,Escalate immediately to the sponsor,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,train,synthetic_eco_v2
1185,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
1186,A project manager is managing a Predictive project. A communication breakdown arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
1187,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to business. What should the project manager do first?,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
